x,y,z,id
0.36035826802253723,0.7808087468147278,0.12885013,Neurophysics
0.7590747475624084,0.18935853242874146,4.2626329E-02,Optics
0.29657065868377686,0.9706918597221375,-0.21543704,Agrophysics
0.4525843858718872,0.45252302289009094,0.47349632,Soft matter
0.5380913615226746,0.30903738737106323,0.29370576,List of physicists
1,0.5979832410812378,-1.2091002,Ballistics
0.869304358959198,0.8850812315940857,-0.18856236,The Feynman Lectures on Physics
0.5690450072288513,0.5343671441078186,-0.40221316,"Atomic, molecular, and optical physics"
0.6366755366325378,0.5727955102920532,0.30631107,Theoretical physics
0.6624557971954346,0.691243052482605,1.5795006,Particle physics
